source_ref,workstream,schedule,entity_or_item,period_or_as_of,case,metric_or_driver,numeric_value,text_or_decision,units,source_or_owner,source_date,system_tie
PLN-00350,Complete the FY27 field workforce plan,Employee roster summary,Controls technician,2026-06-30,Approved case,Active FTE,0.10714285714285714,,ledger allocation factor,HR roster reconciled to employee master,2026-06-30,Vista ERP employee master at 2026-06-30; active employees
PLN-00351,Complete the FY27 field workforce plan,Employee roster summary,Controls technician,FY27,Approved case,Monthly paid hours per FTE,160.0,,hours,Finance operating schedule,2026-06-30,
PLN-00352,Complete the FY27 field workforce plan,Employee roster summary,Controls technician,FY27,Approved case,Productive utilization,0.82,,decimal ratio,Finance operating schedule,2026-06-30,
PLN-00353,Complete the FY27 field workforce plan,Employee roster summary,Controls technician,FY27,Approved case,Average hourly wage,47.0,,USD per hour,Finance operating schedule,2026-06-30,
PLN-00354,Complete the FY27 field workforce plan,Employee roster summary,Controls technician,FY27,Approved case,Benefits and burden,0.3,,decimal ratio,Finance operating schedule,2026-06-30,
PLN-00384,Forecast accuracy and bias backtest,Monthly actual revenue,Construction,2025-07,Approved case,Posted revenue allocation,0.04125,,ledger allocation factor,Monthly business-unit mapping to posted revenue,2026-06-30,"Vista ERP P&L, 2025-07-01 through 2026-06-30; Revenue total"
PLN-00385,Forecast accuracy and bias backtest,Monthly locked forecast,Construction,2025-07,Approved case,Forecast error rate versus posted actual,0.035,,decimal ratio,Month-start locked forecast archive,2026-06-30,
PLN-00387,Forecast accuracy and bias backtest,Monthly actual revenue,Service,2025-07,Approved case,Posted revenue allocation,0.021,,ledger allocation factor,Monthly business-unit mapping to posted revenue,2026-06-30,"Vista ERP P&L, 2025-07-01 through 2026-06-30; Revenue total"
PLN-00388,Forecast accuracy and bias backtest,Monthly locked forecast,Service,2025-07,Approved case,Forecast error rate versus posted actual,-0.022,,decimal ratio,Month-start locked forecast archive,2026-06-30,
PLN-00390,Forecast accuracy and bias backtest,Monthly actual revenue,Building Controls,2025-07,Approved case,Posted revenue allocation,0.012750000000000001,,ledger allocation factor,Monthly business-unit mapping to posted revenue,2026-06-30,"Vista ERP P&L, 2025-07-01 through 2026-06-30; Revenue total"
PLN-00391,Forecast accuracy and bias backtest,Monthly locked forecast,Building Controls,2025-07,Approved case,Forecast error rate versus posted actual,-0.075,,decimal ratio,Month-start locked forecast archive,2026-06-30,
PLN-00393,Forecast accuracy and bias backtest,Monthly actual revenue,Construction,2025-08,Approved case,Posted revenue allocation,0.0429,,ledger allocation factor,Monthly business-unit mapping to posted revenue,2026-06-30,"Vista ERP P&L, 2025-07-01 through 2026-06-30; Revenue total"
PLN-00394,Forecast accuracy and bias backtest,Monthly locked forecast,Construction,2025-08,Approved case,Forecast error rate versus posted actual,0.035,,decimal ratio,Month-start locked forecast archive,2026-06-30,
PLN-00396,Forecast accuracy and bias backtest,Monthly actual revenue,Service,2025-08,Approved case,Posted revenue allocation,0.021840000000000002,,ledger allocation factor,Monthly business-unit mapping to posted revenue,2026-06-30,"Vista ERP P&L, 2025-07-01 through 2026-06-30; Revenue total"
PLN-00397,Forecast accuracy and bias backtest,Monthly locked forecast,Service,2025-08,Approved case,Forecast error rate versus posted actual,-0.022,,decimal ratio,Month-start locked forecast archive,2026-06-30,
PLN-00399,Forecast accuracy and bias backtest,Monthly actual revenue,Building Controls,2025-08,Approved case,Posted revenue allocation,0.013260000000000001,,ledger allocation factor,Monthly business-unit mapping to posted revenue,2026-06-30,"Vista ERP P&L, 2025-07-01 through 2026-06-30; Revenue total"
PLN-00400,Forecast accuracy and bias backtest,Monthly locked forecast,Building Controls,2025-08,Approved case,Forecast error rate versus posted actual,-0.075,,decimal ratio,Month-start locked forecast archive,2026-06-30,
PLN-00402,Forecast accuracy and bias backtest,Monthly actual revenue,Construction,2025-09,Approved case,Posted revenue allocation,0.044550000000000006,,ledger allocation factor,Monthly business-unit mapping to posted revenue,2026-06-30,"Vista ERP P&L, 2025-07-01 through 2026-06-30; Revenue total"
PLN-00403,Forecast accuracy and bias backtest,Monthly locked forecast,Construction,2025-09,Approved case,Forecast error rate versus posted actual,0.035,,decimal ratio,Month-start locked forecast archive,2026-06-30,
PLN-00405,Forecast accuracy and bias backtest,Monthly actual revenue,Service,2025-09,Approved case,Posted revenue allocation,0.022680000000000002,,ledger allocation factor,Monthly business-unit mapping to posted revenue,2026-06-30,"Vista ERP P&L, 2025-07-01 through 2026-06-30; Revenue total"
PLN-00406,Forecast accuracy and bias backtest,Monthly locked forecast,Service,2025-09,Approved case,Forecast error rate versus posted actual,-0.022,,decimal ratio,Month-start locked forecast archive,2026-06-30,
PLN-00408,Forecast accuracy and bias backtest,Monthly actual revenue,Building Controls,2025-09,Approved case,Posted revenue allocation,0.013770000000000001,,ledger allocation factor,Monthly business-unit mapping to posted revenue,2026-06-30,"Vista ERP P&L, 2025-07-01 through 2026-06-30; Revenue total"
PLN-00409,Forecast accuracy and bias backtest,Monthly locked forecast,Building Controls,2025-09,Approved case,Forecast error rate versus posted actual,-0.075,,decimal ratio,Month-start locked forecast archive,2026-06-30,
PLN-00411,Forecast accuracy and bias backtest,Monthly actual revenue,Construction,2025-10,Approved case,Posted revenue allocation,0.04565,,ledger allocation factor,Monthly business-unit mapping to posted revenue,2026-06-30,"Vista ERP P&L, 2025-07-01 through 2026-06-30; Revenue total"
PLN-00412,Forecast accuracy and bias backtest,Monthly locked forecast,Construction,2025-10,Approved case,Forecast error rate versus posted actual,-0.035,,decimal ratio,Month-start locked forecast archive,2026-06-30,
PLN-00414,Forecast accuracy and bias backtest,Monthly actual revenue,Service,2025-10,Approved case,Posted revenue allocation,0.023240000000000004,,ledger allocation factor,Monthly business-unit mapping to posted revenue,2026-06-30,"Vista ERP P&L, 2025-07-01 through 2026-06-30; Revenue total"
PLN-00415,Forecast accuracy and bias backtest,Monthly locked forecast,Service,2025-10,Approved case,Forecast error rate versus posted actual,0.022,,decimal ratio,Month-start locked forecast archive,2026-06-30,
PLN-00417,Forecast accuracy and bias backtest,Monthly actual revenue,Building Controls,2025-10,Approved case,Posted revenue allocation,0.014110000000000001,,ledger allocation factor,Monthly business-unit mapping to posted revenue,2026-06-30,"Vista ERP P&L, 2025-07-01 through 2026-06-30; Revenue total"
PLN-00418,Forecast accuracy and bias backtest,Monthly locked forecast,Building Controls,2025-10,Approved case,Forecast error rate versus posted actual,0.075,,decimal ratio,Month-start locked forecast archive,2026-06-30,
PLN-00420,Forecast accuracy and bias backtest,Monthly actual revenue,Construction,2025-11,Approved case,Posted revenue allocation,0.0473,,ledger allocation factor,Monthly business-unit mapping to posted revenue,2026-06-30,"Vista ERP P&L, 2025-07-01 through 2026-06-30; Revenue total"
PLN-00421,Forecast accuracy and bias backtest,Monthly locked forecast,Construction,2025-11,Approved case,Forecast error rate versus posted actual,0.035,,decimal ratio,Month-start locked forecast archive,2026-06-30,
PLN-00423,Forecast accuracy and bias backtest,Monthly actual revenue,Service,2025-11,Approved case,Posted revenue allocation,0.02408,,ledger allocation factor,Monthly business-unit mapping to posted revenue,2026-06-30,"Vista ERP P&L, 2025-07-01 through 2026-06-30; Revenue total"
PLN-00424,Forecast accuracy and bias backtest,Monthly locked forecast,Service,2025-11,Approved case,Forecast error rate versus posted actual,-0.022,,decimal ratio,Month-start locked forecast archive,2026-06-30,
PLN-00426,Forecast accuracy and bias backtest,Monthly actual revenue,Building Controls,2025-11,Approved case,Posted revenue allocation,0.01462,,ledger allocation factor,Monthly business-unit mapping to posted revenue,2026-06-30,"Vista ERP P&L, 2025-07-01 through 2026-06-30; Revenue total"
PLN-00427,Forecast accuracy and bias backtest,Monthly locked forecast,Building Controls,2025-11,Approved case,Forecast error rate versus posted actual,-0.075,,decimal ratio,Month-start locked forecast archive,2026-06-30,
PLN-00429,Forecast accuracy and bias backtest,Monthly actual revenue,Construction,2025-12,Approved case,Posted revenue allocation,0.0495,,ledger allocation factor,Monthly business-unit mapping to posted revenue,2026-06-30,"Vista ERP P&L, 2025-07-01 through 2026-06-30; Revenue total"
PLN-00430,Forecast accuracy and bias backtest,Monthly locked forecast,Construction,2025-12,Approved case,Forecast error rate versus posted actual,0.035,,decimal ratio,Month-start locked forecast archive,2026-06-30,
PLN-00432,Forecast accuracy and bias backtest,Monthly actual revenue,Service,2025-12,Approved case,Posted revenue allocation,0.0252,,ledger allocation factor,Monthly business-unit mapping to posted revenue,2026-06-30,"Vista ERP P&L, 2025-07-01 through 2026-06-30; Revenue total"
PLN-00433,Forecast accuracy and bias backtest,Monthly locked forecast,Service,2025-12,Approved case,Forecast error rate versus posted actual,-0.022,,decimal ratio,Month-start locked forecast archive,2026-06-30,
PLN-00435,Forecast accuracy and bias backtest,Monthly actual revenue,Building Controls,2025-12,Approved case,Posted revenue allocation,0.015300000000000001,,ledger allocation factor,Monthly business-unit mapping to posted revenue,2026-06-30,"Vista ERP P&L, 2025-07-01 through 2026-06-30; Revenue total"
PLN-00436,Forecast accuracy and bias backtest,Monthly locked forecast,Building Controls,2025-12,Approved case,Forecast error rate versus posted actual,-0.075,,decimal ratio,Month-start locked forecast archive,2026-06-30,
PLN-00438,Forecast accuracy and bias backtest,Monthly actual revenue,Construction,2026-01,Approved case,Posted revenue allocation,0.0429,,ledger allocation factor,Monthly business-unit mapping to posted revenue,2026-06-30,"Vista ERP P&L, 2025-07-01 through 2026-06-30; Revenue total"
PLN-00439,Forecast accuracy and bias backtest,Monthly locked forecast,Construction,2026-01,Approved case,Forecast error rate versus posted actual,0.035,,decimal ratio,Month-start locked forecast archive,2026-06-30,
PLN-00441,Forecast accuracy and bias backtest,Monthly actual revenue,Service,2026-01,Approved case,Posted revenue allocation,0.021840000000000002,,ledger allocation factor,Monthly business-unit mapping to posted revenue,2026-06-30,"Vista ERP P&L, 2025-07-01 through 2026-06-30; Revenue total"
PLN-00442,Forecast accuracy and bias backtest,Monthly locked forecast,Service,2026-01,Approved case,Forecast error rate versus posted actual,-0.022,,decimal ratio,Month-start locked forecast archive,2026-06-30,
PLN-00444,Forecast accuracy and bias backtest,Monthly actual revenue,Building Controls,2026-01,Approved case,Posted revenue allocation,0.013260000000000001,,ledger allocation factor,Monthly business-unit mapping to posted revenue,2026-06-30,"Vista ERP P&L, 2025-07-01 through 2026-06-30; Revenue total"
PLN-00445,Forecast accuracy and bias backtest,Monthly locked forecast,Building Controls,2026-01,Approved case,Forecast error rate versus posted actual,-0.075,,decimal ratio,Month-start locked forecast archive,2026-06-30,
PLN-00447,Forecast accuracy and bias backtest,Monthly actual revenue,Construction,2026-02,Approved case,Posted revenue allocation,0.041800000000000004,,ledger allocation factor,Monthly business-unit mapping to posted revenue,2026-06-30,"Vista ERP P&L, 2025-07-01 through 2026-06-30; Revenue total"
PLN-00448,Forecast accuracy and bias backtest,Monthly locked forecast,Construction,2026-02,Approved case,Forecast error rate versus posted actual,0.07500000000000001,,decimal ratio,Month-start locked forecast archive,2026-06-30,
PLN-00450,Forecast accuracy and bias backtest,Monthly actual revenue,Service,2026-02,Approved case,Posted revenue allocation,0.02128,,ledger allocation factor,Monthly business-unit mapping to posted revenue,2026-06-30,"Vista ERP P&L, 2025-07-01 through 2026-06-30; Revenue total"
PLN-00451,Forecast accuracy and bias backtest,Monthly locked forecast,Service,2026-02,Approved case,Forecast error rate versus posted actual,0.018000000000000002,,decimal ratio,Month-start locked forecast archive,2026-06-30,
PLN-00453,Forecast accuracy and bias backtest,Monthly actual revenue,Building Controls,2026-02,Approved case,Posted revenue allocation,0.012920000000000001,,ledger allocation factor,Monthly business-unit mapping to posted revenue,2026-06-30,"Vista ERP P&L, 2025-07-01 through 2026-06-30; Revenue total"
PLN-00454,Forecast accuracy and bias backtest,Monthly locked forecast,Building Controls,2026-02,Approved case,Forecast error rate versus posted actual,0.135,,decimal ratio,Month-start locked forecast archive,2026-06-30,
PLN-00456,Forecast accuracy and bias backtest,Monthly actual revenue,Construction,2026-03,Approved case,Posted revenue allocation,0.044000000000000004,,ledger allocation factor,Monthly business-unit mapping to posted revenue,2026-06-30,"Vista ERP P&L, 2025-07-01 through 2026-06-30; Revenue total"
PLN-00457,Forecast accuracy and bias backtest,Monthly locked forecast,Construction,2026-03,Approved case,Forecast error rate versus posted actual,0.035,,decimal ratio,Month-start locked forecast archive,2026-06-30,
PLN-00459,Forecast accuracy and bias backtest,Monthly actual revenue,Service,2026-03,Approved case,Posted revenue allocation,0.022400000000000003,,ledger allocation factor,Monthly business-unit mapping to posted revenue,2026-06-30,"Vista ERP P&L, 2025-07-01 through 2026-06-30; Revenue total"
PLN-00460,Forecast accuracy and bias backtest,Monthly locked forecast,Service,2026-03,Approved case,Forecast error rate versus posted actual,-0.022,,decimal ratio,Month-start locked forecast archive,2026-06-30,
PLN-00462,Forecast accuracy and bias backtest,Monthly actual revenue,Building Controls,2026-03,Approved case,Posted revenue allocation,0.013600000000000001,,ledger allocation factor,Monthly business-unit mapping to posted revenue,2026-06-30,"Vista ERP P&L, 2025-07-01 through 2026-06-30; Revenue total"
PLN-00463,Forecast accuracy and bias backtest,Monthly locked forecast,Building Controls,2026-03,Approved case,Forecast error rate versus posted actual,-0.075,,decimal ratio,Month-start locked forecast archive,2026-06-30,
PLN-00465,Forecast accuracy and bias backtest,Monthly actual revenue,Construction,2026-04,Approved case,Posted revenue allocation,0.047850000000000004,,ledger allocation factor,Monthly business-unit mapping to posted revenue,2026-06-30,"Vista ERP P&L, 2025-07-01 through 2026-06-30; Revenue total"
PLN-00466,Forecast accuracy and bias backtest,Monthly locked forecast,Construction,2026-04,Approved case,Forecast error rate versus posted actual,0.035,,decimal ratio,Month-start locked forecast archive,2026-06-30,
PLN-00468,Forecast accuracy and bias backtest,Monthly actual revenue,Service,2026-04,Approved case,Posted revenue allocation,0.02436,,ledger allocation factor,Monthly business-unit mapping to posted revenue,2026-06-30,"Vista ERP P&L, 2025-07-01 through 2026-06-30; Revenue total"
PLN-00469,Forecast accuracy and bias backtest,Monthly locked forecast,Service,2026-04,Approved case,Forecast error rate versus posted actual,-0.022,,decimal ratio,Month-start locked forecast archive,2026-06-30,
PLN-00471,Forecast accuracy and bias backtest,Monthly actual revenue,Building Controls,2026-04,Approved case,Posted revenue allocation,0.01479,,ledger allocation factor,Monthly business-unit mapping to posted revenue,2026-06-30,"Vista ERP P&L, 2025-07-01 through 2026-06-30; Revenue total"
PLN-00472,Forecast accuracy and bias backtest,Monthly locked forecast,Building Controls,2026-04,Approved case,Forecast error rate versus posted actual,-0.075,,decimal ratio,Month-start locked forecast archive,2026-06-30,
PLN-00474,Forecast accuracy and bias backtest,Monthly actual revenue,Construction,2026-05,Approved case,Posted revenue allocation,0.050050000000000004,,ledger allocation factor,Monthly business-unit mapping to posted revenue,2026-06-30,"Vista ERP P&L, 2025-07-01 through 2026-06-30; Revenue total"
PLN-00475,Forecast accuracy and bias backtest,Monthly locked forecast,Construction,2026-05,Approved case,Forecast error rate versus posted actual,-0.035,,decimal ratio,Month-start locked forecast archive,2026-06-30,
PLN-00477,Forecast accuracy and bias backtest,Monthly actual revenue,Service,2026-05,Approved case,Posted revenue allocation,0.025480000000000003,,ledger allocation factor,Monthly business-unit mapping to posted revenue,2026-06-30,"Vista ERP P&L, 2025-07-01 through 2026-06-30; Revenue total"
PLN-00478,Forecast accuracy and bias backtest,Monthly locked forecast,Service,2026-05,Approved case,Forecast error rate versus posted actual,0.022,,decimal ratio,Month-start locked forecast archive,2026-06-30,
PLN-00480,Forecast accuracy and bias backtest,Monthly actual revenue,Building Controls,2026-05,Approved case,Posted revenue allocation,0.015470000000000001,,ledger allocation factor,Monthly business-unit mapping to posted revenue,2026-06-30,"Vista ERP P&L, 2025-07-01 through 2026-06-30; Revenue total"
PLN-00481,Forecast accuracy and bias backtest,Monthly locked forecast,Building Controls,2026-05,Approved case,Forecast error rate versus posted actual,0.075,,decimal ratio,Month-start locked forecast archive,2026-06-30,
PLN-00483,Forecast accuracy and bias backtest,Monthly actual revenue,Construction,2026-06,Approved case,Posted revenue allocation,0.052250000000000005,,ledger allocation factor,Monthly business-unit mapping to posted revenue,2026-06-30,"Vista ERP P&L, 2025-07-01 through 2026-06-30; Revenue total"
PLN-00484,Forecast accuracy and bias backtest,Monthly locked forecast,Construction,2026-06,Approved case,Forecast error rate versus posted actual,0.035,,decimal ratio,Month-start locked forecast archive,2026-06-30,
PLN-00486,Forecast accuracy and bias backtest,Monthly actual revenue,Service,2026-06,Approved case,Posted revenue allocation,0.026600000000000002,,ledger allocation factor,Monthly business-unit mapping to posted revenue,2026-06-30,"Vista ERP P&L, 2025-07-01 through 2026-06-30; Revenue total"
PLN-00487,Forecast accuracy and bias backtest,Monthly locked forecast,Service,2026-06,Approved case,Forecast error rate versus posted actual,-0.022,,decimal ratio,Month-start locked forecast archive,2026-06-30,
PLN-00489,Forecast accuracy and bias backtest,Monthly actual revenue,Building Controls,2026-06,Approved case,Posted revenue allocation,0.01615,,ledger allocation factor,Monthly business-unit mapping to posted revenue,2026-06-30,"Vista ERP P&L, 2025-07-01 through 2026-06-30; Revenue total"
PLN-00490,Forecast accuracy and bias backtest,Monthly locked forecast,Building Controls,2026-06,Approved case,Forecast error rate versus posted actual,-0.075,,decimal ratio,Month-start locked forecast archive,2026-06-30,
PLN-00552,Service-contract cohort renewal forecast,Active service cohort population,C-2019,2026-06-30,Approved case,Opening ARR allocation,0.18,,ledger allocation factor,Service agreement population mapped to cohorts,2026-06-30,Vista ERP service agreements active at 2026-06-30; annual value
PLN-00559,Service-contract cohort renewal forecast,Active service cohort population,C-2020,2026-06-30,Approved case,Opening ARR allocation,0.16,,ledger allocation factor,Service agreement population mapped to cohorts,2026-06-30,Vista ERP service agreements active at 2026-06-30; annual value
PLN-00566,Service-contract cohort renewal forecast,Active service cohort population,C-2021,2026-06-30,Approved case,Opening ARR allocation,0.15,,ledger allocation factor,Service agreement population mapped to cohorts,2026-06-30,Vista ERP service agreements active at 2026-06-30; annual value
PLN-00573,Service-contract cohort renewal forecast,Active service cohort population,C-2022,2026-06-30,Approved case,Opening ARR allocation,0.14,,ledger allocation factor,Service agreement population mapped to cohorts,2026-06-30,Vista ERP service agreements active at 2026-06-30; annual value
PLN-00580,Service-contract cohort renewal forecast,Active service cohort population,C-2023,2026-06-30,Approved case,Opening ARR allocation,0.13,,ledger allocation factor,Service agreement population mapped to cohorts,2026-06-30,Vista ERP service agreements active at 2026-06-30; annual value
PLN-00587,Service-contract cohort renewal forecast,Active service cohort population,C-2024,2026-06-30,Approved case,Opening ARR allocation,0.12,,ledger allocation factor,Service agreement population mapped to cohorts,2026-06-30,Vista ERP service agreements active at 2026-06-30; annual value
PLN-00594,Service-contract cohort renewal forecast,Active service cohort population,C-2025,2026-06-30,Approved case,Opening ARR allocation,0.12,,ledger allocation factor,Service agreement population mapped to cohorts,2026-06-30,Vista ERP service agreements active at 2026-06-30; annual value
PLN-00613,Complete the backlog burn and capacity model,Signed contract backlog,P-3101,2026-06-30,Approved case,Remaining transaction price,8400000.0,,USD,Finance operating schedule,2026-06-30,
PLN-00614,Complete the backlog burn and capacity model,Signed contract backlog,P-3101,FY27,Approved case,Contract start month,,2026-07,classification,Finance operating schedule,2026-06-30,
PLN-00615,Complete the backlog burn and capacity model,Signed contract backlog,P-3101,FY27,Approved case,Execution probability,1.0,,decimal ratio,Finance operating schedule,2026-06-30,
PLN-00616,Complete the backlog burn and capacity model,Signed contract backlog,P-3101,FY27,Approved case,Revenue per productive hour,118.0,,USD per hour,Finance operating schedule,2026-06-30,
PLN-00617,Complete the backlog burn and capacity model,Project burn curve,P-3101,2026-07,Approved case,Monthly burn share,0.01282051282051282,,decimal ratio,Finance operating schedule,2026-06-30,
PLN-00618,Complete the backlog burn and capacity model,Project burn curve,P-3101,2026-08,Approved case,Monthly burn share,0.02564102564102564,,decimal ratio,Finance operating schedule,2026-06-30,
PLN-00619,Complete the backlog burn and capacity model,Project burn curve,P-3101,2026-09,Approved case,Monthly burn share,0.038461538461538464,,decimal ratio,Finance operating schedule,2026-06-30,
PLN-00620,Complete the backlog burn and capacity model,Project burn curve,P-3101,2026-10,Approved case,Monthly burn share,0.05128205128205128,,decimal ratio,Finance operating schedule,2026-06-30,
PLN-00621,Complete the backlog burn and capacity model,Project burn curve,P-3101,2026-11,Approved case,Monthly burn share,0.0641025641025641,,decimal ratio,Finance operating schedule,2026-06-30,
PLN-00622,Complete the backlog burn and capacity model,Project burn curve,P-3101,2026-12,Approved case,Monthly burn share,0.07692307692307693,,decimal ratio,Finance operating schedule,2026-06-30,
PLN-00623,Complete the backlog burn and capacity model,Project burn curve,P-3101,2027-01,Approved case,Monthly burn share,0.08974358974358974,,decimal ratio,Finance operating schedule,2026-06-30,
PLN-00624,Complete the backlog burn and capacity model,Project burn curve,P-3101,2027-02,Approved case,Monthly burn share,0.10256410256410256,,decimal ratio,Finance operating schedule,2026-06-30,
PLN-00625,Complete the backlog burn and capacity model,Project burn curve,P-3101,2027-03,Approved case,Monthly burn share,0.11538461538461539,,decimal ratio,Finance operating schedule,2026-06-30,
PLN-00626,Complete the backlog burn and capacity model,Project burn curve,P-3101,2027-04,Approved case,Monthly burn share,0.1282051282051282,,decimal ratio,Finance operating schedule,2026-06-30,
PLN-00627,Complete the backlog burn and capacity model,Project burn curve,P-3101,2027-05,Approved case,Monthly burn share,0.14102564102564102,,decimal ratio,Finance operating schedule,2026-06-30,
PLN-00628,Complete the backlog burn and capacity model,Project burn curve,P-3101,2027-06,Approved case,Monthly burn share,0.15384615384615385,,decimal ratio,Finance operating schedule,2026-06-30,
PLN-00629,Complete the backlog burn and capacity model,Signed contract backlog,P-3107,2026-06-30,Approved case,Remaining transaction price,6900000.0,,USD,Finance operating schedule,2026-06-30,
PLN-00630,Complete the backlog burn and capacity model,Signed contract backlog,P-3107,FY27,Approved case,Contract start month,,2026-08,classification,Finance operating schedule,2026-06-30,
PLN-00631,Complete the backlog burn and capacity model,Signed contract backlog,P-3107,FY27,Approved case,Execution probability,0.95,,decimal ratio,Finance operating schedule,2026-06-30,
PLN-00632,Complete the backlog burn and capacity model,Signed contract backlog,P-3107,FY27,Approved case,Revenue per productive hour,126.0,,USD per hour,Finance operating schedule,2026-06-30,
PLN-00633,Complete the backlog burn and capacity model,Project burn curve,P-3107,2026-08,Approved case,Monthly burn share,0.015151515151515152,,decimal ratio,Finance operating schedule,2026-06-30,
PLN-00634,Complete the backlog burn and capacity model,Project burn curve,P-3107,2026-09,Approved case,Monthly burn share,0.030303030303030304,,decimal ratio,Finance operating schedule,2026-06-30,
PLN-00635,Complete the backlog burn and capacity model,Project burn curve,P-3107,2026-10,Approved case,Monthly burn share,0.045454545454545456,,decimal ratio,Finance operating schedule,2026-06-30,
PLN-00636,Complete the backlog burn and capacity model,Project burn curve,P-3107,2026-11,Approved case,Monthly burn share,0.06060606060606061,,decimal ratio,Finance operating schedule,2026-06-30,
PLN-00637,Complete the backlog burn and capacity model,Project burn curve,P-3107,2026-12,Approved case,Monthly burn share,0.07575757575757576,,decimal ratio,Finance operating schedule,2026-06-30,
PLN-00638,Complete the backlog burn and capacity model,Project burn curve,P-3107,2027-01,Approved case,Monthly burn share,0.09090909090909091,,decimal ratio,Finance operating schedule,2026-06-30,
PLN-00639,Complete the backlog burn and capacity model,Project burn curve,P-3107,2027-02,Approved case,Monthly burn share,0.10606060606060606,,decimal ratio,Finance operating schedule,2026-06-30,
PLN-00640,Complete the backlog burn and capacity model,Project burn curve,P-3107,2027-03,Approved case,Monthly burn share,0.12121212121212122,,decimal ratio,Finance operating schedule,2026-06-30,
PLN-00641,Complete the backlog burn and capacity model,Project burn curve,P-3107,2027-04,Approved case,Monthly burn share,0.13636363636363635,,decimal ratio,Finance operating schedule,2026-06-30,
PLN-00642,Complete the backlog burn and capacity model,Project burn curve,P-3107,2027-05,Approved case,Monthly burn share,0.15151515151515152,,decimal ratio,Finance operating schedule,2026-06-30,
PLN-00643,Complete the backlog burn and capacity model,Project burn curve,P-3107,2027-06,Approved case,Monthly burn share,0.16666666666666666,,decimal ratio,Finance operating schedule,2026-06-30,
PLN-00644,Complete the backlog burn and capacity model,Signed contract backlog,P-3114,2026-06-30,Approved case,Remaining transaction price,5600.0,,USD thousands,Finance operating schedule,2026-06-30,
PLN-00645,Complete the backlog burn and capacity model,Signed contract backlog,P-3114,FY27,Approved case,Contract start month,,2026-10,classification,Finance operating schedule,2026-06-30,
PLN-00646,Complete the backlog burn and capacity model,Signed contract backlog,P-3114,FY27,Approved case,Execution probability,1.0,,decimal ratio,Finance operating schedule,2026-06-30,
PLN-00647,Complete the backlog burn and capacity model,Signed contract backlog,P-3114,FY27,Approved case,Revenue per productive hour,132.0,,USD per hour,Finance operating schedule,2026-06-30,
PLN-00648,Complete the backlog burn and capacity model,Project burn curve,P-3114,2026-10,Approved case,Monthly burn share,0.022222222222222223,,decimal ratio,Finance operating schedule,2026-06-30,
PLN-00649,Complete the backlog burn and capacity model,Project burn curve,P-3114,2026-11,Approved case,Monthly burn share,0.044444444444444446,,decimal ratio,Finance operating schedule,2026-06-30,
PLN-00650,Complete the backlog burn and capacity model,Project burn curve,P-3114,2026-12,Approved case,Monthly burn share,0.06666666666666667,,decimal ratio,Finance operating schedule,2026-06-30,
PLN-00651,Complete the backlog burn and capacity model,Project burn curve,P-3114,2027-01,Approved case,Monthly burn share,0.08888888888888889,,decimal ratio,Finance operating schedule,2026-06-30,
PLN-00652,Complete the backlog burn and capacity model,Project burn curve,P-3114,2027-02,Approved case,Monthly burn share,0.1111111111111111,,decimal ratio,Finance operating schedule,2026-06-30,
PLN-00653,Complete the backlog burn and capacity model,Project burn curve,P-3114,2027-03,Approved case,Monthly burn share,0.13333333333333333,,decimal ratio,Finance operating schedule,2026-06-30,
PLN-00654,Complete the backlog burn and capacity model,Project burn curve,P-3114,2027-04,Approved case,Monthly burn share,0.15555555555555556,,decimal ratio,Finance operating schedule,2026-06-30,
