id,description,item_type,product_family,inventory_uom,make_buy,lot_controlled,serial_controlled,lifecycle_status,standard_order_quantity,primary_vendor_id,commodity
ACT-0039,"Electric linear actuator, frame 200, stroke 450 mm",Finished Good,ACT,EA,Make,0,0,Active,20.0,,Finished Product
ACT-0040,"Electric linear actuator, frame 250, stroke 450 mm",Finished Good,ACT,EA,Make,0,0,Active,50.0,,Finished Product
ACT-0041,"Electric linear actuator, frame 040, stroke 600 mm",Finished Good,ACT,EA,Make,0,0,Active,100.0,,Finished Product
ACT-0042,"Electric linear actuator, frame 050, stroke 600 mm",Finished Good,ACT,EA,Make,0,1,Active,1.0,,Finished Product
ACT-0043,"Electric linear actuator, frame 063, stroke 600 mm",Finished Good,ACT,EA,Make,0,0,Active,5.0,,Finished Product
ACT-0044,"Electric linear actuator, frame 075, stroke 600 mm",Finished Good,ACT,EA,Make,0,0,Active,10.0,,Finished Product
ACT-0045,"Electric linear actuator, frame 090, stroke 600 mm",Finished Good,ACT,EA,Make,1,0,Active,20.0,,Finished Product
ACT-0046,"Electric linear actuator, frame 110, stroke 600 mm",Finished Good,ACT,EA,Make,0,0,Active,50.0,,Finished Product
ACT-0047,"Electric linear actuator, frame 140, stroke 600 mm",Finished Good,ACT,EA,Make,0,0,Active,100.0,,Finished Product
ACT-0048,"Electric linear actuator, frame 160, stroke 600 mm",Finished Good,ACT,EA,Make,0,0,Active,1.0,,Finished Product
ACT-0049,"Electric linear actuator, frame 200, stroke 600 mm",Finished Good,ACT,EA,Make,0,1,Active,5.0,,Finished Product
ACT-0050,"Electric linear actuator, frame 250, stroke 600 mm",Finished Good,ACT,EA,Make,0,0,Active,10.0,,Finished Product
ACT-0051,"Electric linear actuator, frame 040, stroke 900 mm",Finished Good,ACT,EA,Make,0,0,Active,20.0,,Finished Product
ACT-0052,"Electric linear actuator, frame 050, stroke 900 mm",Finished Good,ACT,EA,Make,0,0,Active,50.0,,Finished Product
ACT-0053,"Electric linear actuator, frame 063, stroke 900 mm",Finished Good,ACT,EA,Make,0,0,Active,100.0,,Finished Product
ACT-0054,"Electric linear actuator, frame 075, stroke 900 mm",Finished Good,ACT,EA,Make,1,0,Active,1.0,,Finished Product
ACT-0055,"Electric linear actuator, frame 090, stroke 900 mm",Finished Good,ACT,EA,Make,0,0,Active,5.0,,Finished Product
ACT-0056,"Electric linear actuator, frame 110, stroke 900 mm",Finished Good,ACT,EA,Make,0,1,Active,10.0,,Finished Product
ACT-0057,"Electric linear actuator, frame 140, stroke 900 mm",Finished Good,ACT,EA,Make,0,0,Phase Out,20.0,,Finished Product
ACT-0058,"Electric linear actuator, frame 160, stroke 900 mm",Finished Good,ACT,EA,Make,0,0,Phase Out,50.0,,Finished Product
ACT-0059,"Electric linear actuator, frame 200, stroke 900 mm",Finished Good,ACT,EA,Make,0,0,Phase Out,100.0,,Finished Product
ACT-0060,"Electric linear actuator, frame 250, stroke 900 mm",Finished Good,ACT,EA,Make,0,0,Phase Out,1.0,,Finished Product
AFT-0001,"Seal and bearing service kit, frame 040",Aftermarket,AFT,EA,Either,0,0,Active,5.0,VEND-0014,Aftermarket
AFT-0002,"Input coupling replacement kit, frame 040",Aftermarket,AFT,EA,Either,0,0,Active,10.0,VEND-0027,Aftermarket
AFT-0003,"Brake retrofit kit, frame 040",Aftermarket,AFT,EA,Either,0,0,Active,20.0,VEND-0040,Aftermarket
AFT-0004,"Encoder replacement kit, frame 040",Aftermarket,AFT,EA,Either,0,0,Active,50.0,VEND-0053,Aftermarket
AFT-0005,"Cooling fan service kit, frame 040",Aftermarket,AFT,EA,Either,0,0,Active,100.0,VEND-0066,Aftermarket
AFT-0006,"Field wiring kit, frame 040",Aftermarket,AFT,EA,Either,0,0,Active,1.0,VEND-0079,Aftermarket
AFT-0007,"Lubrication service kit, frame 040",Aftermarket,AFT,EA,Either,0,0,Active,5.0,VEND-0092,Aftermarket
AFT-0008,"Output flange retrofit kit, frame 040",Aftermarket,AFT,EA,Either,0,0,Active,10.0,VEND-0105,Aftermarket
AFT-0009,"Operator panel replacement kit, frame 040",Aftermarket,AFT,EA,Either,1,0,Active,20.0,VEND-0118,Aftermarket
AFT-0010,"Preventive-maintenance spares kit, frame 040",Aftermarket,AFT,EA,Either,0,0,Active,50.0,VEND-0131,Aftermarket
AFT-0011,"Seal and bearing service kit, frame 050",Aftermarket,AFT,EA,Either,0,0,Active,100.0,VEND-0144,Aftermarket
AFT-0012,"Input coupling replacement kit, frame 050",Aftermarket,AFT,EA,Either,0,0,Active,1.0,VEND-0157,Aftermarket
AFT-0013,"Brake retrofit kit, frame 050",Aftermarket,AFT,EA,Either,0,0,Active,5.0,VEND-0170,Aftermarket
AFT-0014,"Encoder replacement kit, frame 050",Aftermarket,AFT,EA,Either,0,0,Active,10.0,VEND-0003,Aftermarket
AFT-0015,"Cooling fan service kit, frame 050",Aftermarket,AFT,EA,Either,0,0,Active,20.0,VEND-0016,Aftermarket
AFT-0016,"Field wiring kit, frame 050",Aftermarket,AFT,EA,Either,0,0,Active,50.0,VEND-0029,Aftermarket
AFT-0017,"Lubrication service kit, frame 050",Aftermarket,AFT,EA,Either,0,0,Active,100.0,VEND-0042,Aftermarket
AFT-0018,"Output flange retrofit kit, frame 050",Aftermarket,AFT,EA,Either,1,0,Active,1.0,VEND-0055,Aftermarket
AFT-0019,"Operator panel replacement kit, frame 050",Aftermarket,AFT,EA,Either,0,0,Active,5.0,VEND-0068,Aftermarket
AFT-0020,"Preventive-maintenance spares kit, frame 050",Aftermarket,AFT,EA,Either,0,0,Active,10.0,VEND-0081,Aftermarket
AFT-0021,"Seal and bearing service kit, frame 063",Aftermarket,AFT,EA,Either,0,0,Active,20.0,VEND-0094,Aftermarket
AFT-0022,"Input coupling replacement kit, frame 063",Aftermarket,AFT,EA,Either,0,0,Active,50.0,VEND-0107,Aftermarket
AFT-0023,"Brake retrofit kit, frame 063",Aftermarket,AFT,EA,Either,0,0,Active,100.0,VEND-0120,Aftermarket
AFT-0024,"Encoder replacement kit, frame 063",Aftermarket,AFT,EA,Either,0,0,Active,1.0,VEND-0133,Aftermarket
AFT-0025,"Cooling fan service kit, frame 063",Aftermarket,AFT,EA,Either,0,0,Active,5.0,VEND-0146,Aftermarket
AFT-0026,"Field wiring kit, frame 063",Aftermarket,AFT,EA,Either,0,0,Active,10.0,VEND-0159,Aftermarket
AFT-0027,"Lubrication service kit, frame 063",Aftermarket,AFT,EA,Either,1,0,Active,20.0,VEND-0172,Aftermarket
AFT-0028,"Output flange retrofit kit, frame 063",Aftermarket,AFT,EA,Either,0,0,Active,50.0,VEND-0005,Aftermarket
AFT-0029,"Operator panel replacement kit, frame 063",Aftermarket,AFT,EA,Either,0,0,Active,100.0,VEND-0018,Aftermarket
AFT-0030,"Preventive-maintenance spares kit, frame 063",Aftermarket,AFT,EA,Either,0,0,Active,1.0,VEND-0031,Aftermarket
AFT-0031,"Seal and bearing service kit, frame 075",Aftermarket,AFT,EA,Either,0,0,Active,5.0,VEND-0044,Aftermarket
AFT-0032,"Input coupling replacement kit, frame 075",Aftermarket,AFT,EA,Either,0,0,Active,10.0,VEND-0057,Aftermarket
AFT-0033,"Brake retrofit kit, frame 075",Aftermarket,AFT,EA,Either,0,0,Active,20.0,VEND-0070,Aftermarket
AFT-0034,"Encoder replacement kit, frame 075",Aftermarket,AFT,EA,Either,0,0,Active,50.0,VEND-0083,Aftermarket
AFT-0035,"Cooling fan service kit, frame 075",Aftermarket,AFT,EA,Either,0,0,Active,100.0,VEND-0096,Aftermarket
AFT-0036,"Field wiring kit, frame 075",Aftermarket,AFT,EA,Either,1,0,Active,1.0,VEND-0109,Aftermarket
AFT-0037,"Lubrication service kit, frame 075",Aftermarket,AFT,EA,Either,0,0,Active,5.0,VEND-0122,Aftermarket
AFT-0038,"Output flange retrofit kit, frame 075",Aftermarket,AFT,EA,Either,0,0,Active,10.0,VEND-0135,Aftermarket
AFT-0039,"Operator panel replacement kit, frame 075",Aftermarket,AFT,EA,Either,0,0,Active,20.0,VEND-0148,Aftermarket
AFT-0040,"Preventive-maintenance spares kit, frame 075",Aftermarket,AFT,EA,Either,0,0,Active,50.0,VEND-0161,Aftermarket
AFT-0041,"Seal and bearing service kit, frame 090",Aftermarket,AFT,EA,Either,0,0,Active,100.0,VEND-0174,Aftermarket
AFT-0042,"Input coupling replacement kit, frame 090",Aftermarket,AFT,EA,Either,0,0,Active,1.0,VEND-0007,Aftermarket
AFT-0043,"Brake retrofit kit, frame 090",Aftermarket,AFT,EA,Either,0,0,Active,5.0,VEND-0020,Aftermarket
AFT-0044,"Encoder replacement kit, frame 090",Aftermarket,AFT,EA,Either,0,0,Active,10.0,VEND-0033,Aftermarket
AFT-0045,"Cooling fan service kit, frame 090",Aftermarket,AFT,EA,Either,1,0,Active,20.0,VEND-0046,Aftermarket
AFT-0046,"Field wiring kit, frame 090",Aftermarket,AFT,EA,Either,0,0,Active,50.0,VEND-0059,Aftermarket
AFT-0047,"Lubrication service kit, frame 090",Aftermarket,AFT,EA,Either,0,0,Active,100.0,VEND-0072,Aftermarket
AFT-0048,"Output flange retrofit kit, frame 090",Aftermarket,AFT,EA,Either,0,0,Active,1.0,VEND-0085,Aftermarket
AFT-0049,"Operator panel replacement kit, frame 090",Aftermarket,AFT,EA,Either,0,0,Active,5.0,VEND-0098,Aftermarket
AFT-0050,"Preventive-maintenance spares kit, frame 090",Aftermarket,AFT,EA,Either,0,0,Active,10.0,VEND-0111,Aftermarket
AFT-0051,"Seal and bearing service kit, frame 110",Aftermarket,AFT,EA,Either,0,0,Active,20.0,VEND-0124,Aftermarket
AFT-0052,"Input coupling replacement kit, frame 110",Aftermarket,AFT,EA,Either,0,0,Active,50.0,VEND-0137,Aftermarket
AFT-0053,"Brake retrofit kit, frame 110",Aftermarket,AFT,EA,Either,0,0,Active,100.0,VEND-0150,Aftermarket
AFT-0054,"Encoder replacement kit, frame 110",Aftermarket,AFT,EA,Either,1,0,Active,1.0,VEND-0163,Aftermarket
AFT-0055,"Cooling fan service kit, frame 110",Aftermarket,AFT,EA,Either,0,0,Active,5.0,VEND-0176,Aftermarket
AFT-0056,"Field wiring kit, frame 110",Aftermarket,AFT,EA,Either,0,0,Active,10.0,VEND-0009,Aftermarket
AFT-0057,"Lubrication service kit, frame 110",Aftermarket,AFT,EA,Either,0,0,Phase Out,20.0,VEND-0022,Aftermarket
AFT-0058,"Output flange retrofit kit, frame 110",Aftermarket,AFT,EA,Either,0,0,Phase Out,50.0,VEND-0035,Aftermarket
AFT-0059,"Operator panel replacement kit, frame 110",Aftermarket,AFT,EA,Either,0,0,Phase Out,100.0,VEND-0048,Aftermarket
AFT-0060,"Preventive-maintenance spares kit, frame 110",Aftermarket,AFT,EA,Either,0,0,Phase Out,1.0,VEND-0061,Aftermarket
CTL-0001,"Motion-control cabinet, 2-axis, 230 V",Finished Good,CTL,EA,Make,0,0,Active,5.0,,Finished Product
CTL-0002,"Motion-control cabinet, 3-axis, 230 V",Finished Good,CTL,EA,Make,0,0,Active,10.0,,Finished Product
CTL-0003,"Motion-control cabinet, 4-axis, 230 V",Finished Good,CTL,EA,Make,0,0,Active,20.0,,Finished Product
CTL-0004,"Motion-control cabinet, 5-axis, 230 V",Finished Good,CTL,EA,Make,0,0,Active,50.0,,Finished Product
CTL-0005,"Motion-control cabinet, 6-axis, 230 V",Finished Good,CTL,EA,Make,0,0,Active,100.0,,Finished Product
CTL-0006,"Motion-control cabinet, 7-axis, 230 V",Finished Good,CTL,EA,Make,0,0,Active,1.0,,Finished Product
CTL-0007,"Motion-control cabinet, 8-axis, 230 V",Finished Good,CTL,EA,Make,0,1,Active,5.0,,Finished Product
CTL-0008,"Motion-control cabinet, 9-axis, 230 V",Finished Good,CTL,EA,Make,0,0,Active,10.0,,Finished Product
CTL-0009,"Motion-control cabinet, 10-axis, 230 V",Finished Good,CTL,EA,Make,1,0,Active,20.0,,Finished Product
CTL-0010,"Motion-control cabinet, 11-axis, 230 V",Finished Good,CTL,EA,Make,0,0,Active,50.0,,Finished Product
CTL-0011,"Motion-control cabinet, 2-axis, 400 V",Finished Good,CTL,EA,Make,0,0,Active,100.0,,Finished Product
CTL-0012,"Motion-control cabinet, 3-axis, 400 V",Finished Good,CTL,EA,Make,0,0,Active,1.0,,Finished Product
CTL-0013,"Motion-control cabinet, 4-axis, 400 V",Finished Good,CTL,EA,Make,0,0,Active,5.0,,Finished Product
CTL-0014,"Motion-control cabinet, 5-axis, 400 V",Finished Good,CTL,EA,Make,0,1,Active,10.0,,Finished Product
CTL-0015,"Motion-control cabinet, 6-axis, 400 V",Finished Good,CTL,EA,Make,0,0,Active,20.0,,Finished Product
CTL-0016,"Motion-control cabinet, 7-axis, 400 V",Finished Good,CTL,EA,Make,0,0,Active,50.0,,Finished Product
CTL-0017,"Motion-control cabinet, 8-axis, 400 V",Finished Good,CTL,EA,Make,0,0,Active,100.0,,Finished Product
CTL-0018,"Motion-control cabinet, 9-axis, 400 V",Finished Good,CTL,EA,Make,1,0,Active,1.0,,Finished Product
CTL-0019,"Motion-control cabinet, 10-axis, 400 V",Finished Good,CTL,EA,Make,0,0,Active,5.0,,Finished Product
CTL-0020,"Motion-control cabinet, 11-axis, 400 V",Finished Good,CTL,EA,Make,0,0,Active,10.0,,Finished Product
CTL-0021,"Motion-control cabinet, 2-axis, 460 V",Finished Good,CTL,EA,Make,0,1,Active,20.0,,Finished Product
CTL-0022,"Motion-control cabinet, 3-axis, 460 V",Finished Good,CTL,EA,Make,0,0,Active,50.0,,Finished Product
CTL-0023,"Motion-control cabinet, 4-axis, 460 V",Finished Good,CTL,EA,Make,0,0,Active,100.0,,Finished Product
CTL-0024,"Motion-control cabinet, 5-axis, 460 V",Finished Good,CTL,EA,Make,0,0,Active,1.0,,Finished Product
CTL-0025,"Motion-control cabinet, 6-axis, 460 V",Finished Good,CTL,EA,Make,0,0,Active,5.0,,Finished Product
CTL-0026,"Motion-control cabinet, 7-axis, 460 V",Finished Good,CTL,EA,Make,0,0,Active,10.0,,Finished Product
CTL-0027,"Motion-control cabinet, 8-axis, 460 V",Finished Good,CTL,EA,Make,1,0,Active,20.0,,Finished Product
CTL-0028,"Motion-control cabinet, 9-axis, 460 V",Finished Good,CTL,EA,Make,0,1,Active,50.0,,Finished Product
CTL-0029,"Motion-control cabinet, 10-axis, 460 V",Finished Good,CTL,EA,Make,0,0,Active,100.0,,Finished Product
CTL-0030,"Motion-control cabinet, 11-axis, 460 V",Finished Good,CTL,EA,Make,0,0,Active,1.0,,Finished Product
CTL-0031,"Motion-control cabinet, 2-axis, 600 V",Finished Good,CTL,EA,Make,0,0,Active,5.0,,Finished Product
CTL-0032,"Motion-control cabinet, 3-axis, 600 V",Finished Good,CTL,EA,Make,0,0,Active,10.0,,Finished Product
CTL-0033,"Motion-control cabinet, 4-axis, 600 V",Finished Good,CTL,EA,Make,0,0,Active,20.0,,Finished Product
CTL-0034,"Motion-control cabinet, 5-axis, 600 V",Finished Good,CTL,EA,Make,0,0,Active,50.0,,Finished Product
CTL-0035,"Motion-control cabinet, 6-axis, 600 V",Finished Good,CTL,EA,Make,0,1,Active,100.0,,Finished Product
CTL-0036,"Motion-control cabinet, 7-axis, 600 V",Finished Good,CTL,EA,Make,1,0,Active,1.0,,Finished Product
CTL-0037,"Motion-control cabinet, 8-axis, 600 V",Finished Good,CTL,EA,Make,0,0,Active,5.0,,Finished Product
CTL-0038,"Motion-control cabinet, 9-axis, 600 V",Finished Good,CTL,EA,Make,0,0,Phase Out,10.0,,Finished Product
CTL-0039,"Motion-control cabinet, 10-axis, 600 V",Finished Good,CTL,EA,Make,0,0,Phase Out,20.0,,Finished Product
CTL-0040,"Motion-control cabinet, 11-axis, 600 V",Finished Good,CTL,EA,Make,0,0,Phase Out,50.0,,Finished Product
DRV-0001,"Helical servo gear drive, frame 040, ratio 5:1",Finished Good,DRV,EA,Make,0,0,Active,5.0,,Finished Product
DRV-0002,"Helical servo gear drive, frame 050, ratio 5:1",Finished Good,DRV,EA,Make,0,0,Active,10.0,,Finished Product
DRV-0003,"Helical servo gear drive, frame 063, ratio 5:1",Finished Good,DRV,EA,Make,0,0,Active,20.0,,Finished Product
DRV-0004,"Helical servo gear drive, frame 075, ratio 5:1",Finished Good,DRV,EA,Make,0,0,Active,50.0,,Finished Product
DRV-0005,"Helical servo gear drive, frame 090, ratio 5:1",Finished Good,DRV,EA,Make,0,0,Active,100.0,,Finished Product
DRV-0006,"Helical servo gear drive, frame 110, ratio 5:1",Finished Good,DRV,EA,Make,0,0,Active,1.0,,Finished Product
DRV-0007,"Helical servo gear drive, frame 140, ratio 5:1",Finished Good,DRV,EA,Make,0,1,Active,5.0,,Finished Product
DRV-0008,"Helical servo gear drive, frame 160, ratio 5:1",Finished Good,DRV,EA,Make,0,0,Active,10.0,,Finished Product
DRV-0009,"Helical servo gear drive, frame 200, ratio 5:1",Finished Good,DRV,EA,Make,1,0,Active,20.0,,Finished Product
DRV-0010,"Helical servo gear drive, frame 250, ratio 5:1",Finished Good,DRV,EA,Make,0,0,Active,50.0,,Finished Product
DRV-0011,"Helical servo gear drive, frame 040, ratio 7:1",Finished Good,DRV,EA,Make,0,0,Active,100.0,,Finished Product
DRV-0012,"Helical servo gear drive, frame 050, ratio 7:1",Finished Good,DRV,EA,Make,0,0,Active,1.0,,Finished Product
DRV-0013,"Helical servo gear drive, frame 063, ratio 7:1",Finished Good,DRV,EA,Make,0,0,Active,5.0,,Finished Product
DRV-0014,"Helical servo gear drive, frame 075, ratio 7:1",Finished Good,DRV,EA,Make,0,1,Active,10.0,,Finished Product
DRV-0015,"Helical servo gear drive, frame 090, ratio 7:1",Finished Good,DRV,EA,Make,0,0,Active,20.0,,Finished Product
DRV-0016,"Helical servo gear drive, frame 110, ratio 7:1",Finished Good,DRV,EA,Make,0,0,Active,50.0,,Finished Product
DRV-0017,"Helical servo gear drive, frame 140, ratio 7:1",Finished Good,DRV,EA,Make,0,0,Active,100.0,,Finished Product
DRV-0018,"Helical servo gear drive, frame 160, ratio 7:1",Finished Good,DRV,EA,Make,1,0,Active,1.0,,Finished Product
DRV-0019,"Helical servo gear drive, frame 200, ratio 7:1",Finished Good,DRV,EA,Make,0,0,Active,5.0,,Finished Product
DRV-0020,"Helical servo gear drive, frame 250, ratio 7:1",Finished Good,DRV,EA,Make,0,0,Active,10.0,,Finished Product
DRV-0021,"Helical servo gear drive, frame 040, ratio 10:1",Finished Good,DRV,EA,Make,0,1,Active,20.0,,Finished Product
DRV-0022,"Helical servo gear drive, frame 050, ratio 10:1",Finished Good,DRV,EA,Make,0,0,Active,50.0,,Finished Product
DRV-0023,"Helical servo gear drive, frame 063, ratio 10:1",Finished Good,DRV,EA,Make,0,0,Active,100.0,,Finished Product
DRV-0024,"Helical servo gear drive, frame 075, ratio 10:1",Finished Good,DRV,EA,Make,0,0,Active,1.0,,Finished Product
DRV-0025,"Helical servo gear drive, frame 090, ratio 10:1",Finished Good,DRV,EA,Make,0,0,Active,5.0,,Finished Product
DRV-0026,"Helical servo gear drive, frame 110, ratio 10:1",Finished Good,DRV,EA,Make,0,0,Active,10.0,,Finished Product
DRV-0027,"Helical servo gear drive, frame 140, ratio 10:1",Finished Good,DRV,EA,Make,1,0,Active,20.0,,Finished Product
DRV-0028,"Helical servo gear drive, frame 160, ratio 10:1",Finished Good,DRV,EA,Make,0,1,Active,50.0,,Finished Product
DRV-0029,"Helical servo gear drive, frame 200, ratio 10:1",Finished Good,DRV,EA,Make,0,0,Active,100.0,,Finished Product
DRV-0030,"Helical servo gear drive, frame 250, ratio 10:1",Finished Good,DRV,EA,Make,0,0,Active,1.0,,Finished Product
DRV-0031,"Helical servo gear drive, frame 040, ratio 15:1",Finished Good,DRV,EA,Make,0,0,Active,5.0,,Finished Product
DRV-0032,"Helical servo gear drive, frame 050, ratio 15:1",Finished Good,DRV,EA,Make,0,0,Active,10.0,,Finished Product
DRV-0033,"Helical servo gear drive, frame 063, ratio 15:1",Finished Good,DRV,EA,Make,0,0,Active,20.0,,Finished Product
DRV-0034,"Helical servo gear drive, frame 075, ratio 15:1",Finished Good,DRV,EA,Make,0,0,Active,50.0,,Finished Product
DRV-0035,"Helical servo gear drive, frame 090, ratio 15:1",Finished Good,DRV,EA,Make,0,1,Active,100.0,,Finished Product
DRV-0036,"Helical servo gear drive, frame 110, ratio 15:1",Finished Good,DRV,EA,Make,1,0,Active,1.0,,Finished Product
DRV-0037,"Helical servo gear drive, frame 140, ratio 15:1",Finished Good,DRV,EA,Make,0,0,Active,5.0,,Finished Product
DRV-0038,"Helical servo gear drive, frame 160, ratio 15:1",Finished Good,DRV,EA,Make,0,0,Active,10.0,,Finished Product
DRV-0039,"Helical servo gear drive, frame 200, ratio 15:1",Finished Good,DRV,EA,Make,0,0,Active,20.0,,Finished Product
DRV-0040,"Helical servo gear drive, frame 250, ratio 15:1",Finished Good,DRV,EA,Make,0,0,Active,50.0,,Finished Product
DRV-0041,"Helical servo gear drive, frame 040, ratio 20:1",Finished Good,DRV,EA,Make,0,0,Active,100.0,,Finished Product
DRV-0042,"Helical servo gear drive, frame 050, ratio 20:1",Finished Good,DRV,EA,Make,0,1,Active,1.0,,Finished Product
DRV-0043,"Helical servo gear drive, frame 063, ratio 20:1",Finished Good,DRV,EA,Make,0,0,Active,5.0,,Finished Product
DRV-0044,"Helical servo gear drive, frame 075, ratio 20:1",Finished Good,DRV,EA,Make,0,0,Active,10.0,,Finished Product
DRV-0045,"Helical servo gear drive, frame 090, ratio 20:1",Finished Good,DRV,EA,Make,1,0,Active,20.0,,Finished Product
DRV-0046,"Helical servo gear drive, frame 110, ratio 20:1",Finished Good,DRV,EA,Make,0,0,Active,50.0,,Finished Product
DRV-0047,"Helical servo gear drive, frame 140, ratio 20:1",Finished Good,DRV,EA,Make,0,0,Active,100.0,,Finished Product
DRV-0048,"Helical servo gear drive, frame 160, ratio 20:1",Finished Good,DRV,EA,Make,0,0,Active,1.0,,Finished Product
DRV-0049,"Helical servo gear drive, frame 200, ratio 20:1",Finished Good,DRV,EA,Make,0,1,Active,5.0,,Finished Product
DRV-0050,"Helical servo gear drive, frame 250, ratio 20:1",Finished Good,DRV,EA,Make,0,0,Active,10.0,,Finished Product
DRV-0051,"Helical servo gear drive, frame 040, ratio 30:1",Finished Good,DRV,EA,Make,0,0,Active,20.0,,Finished Product
DRV-0052,"Helical servo gear drive, frame 050, ratio 30:1",Finished Good,DRV,EA,Make,0,0,Active,50.0,,Finished Product
DRV-0053,"Helical servo gear drive, frame 063, ratio 30:1",Finished Good,DRV,EA,Make,0,0,Active,100.0,,Finished Product
